experiment_id	n_pooled	donor_vcf_ids	data_path_10x_format
SRR18028378	12	"684_685,690_691,693_694,683_684,691_692,682_683,688_689,692_693,687_688,689_690,686_687,685_686"	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18028378/outs
SRR18028379	12	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18028379/outs
SRR18028380	12	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18028380/outs
SRR18028381	12	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18028381/outs
SRR18028382	12	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18028382/outs
SRR18028383	12	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18028383/outs
SRR18028384	12	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18028384/outs
SRR18028385	12	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18028385/outs
SRR18028386	12	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18028386/outs
SRR18028387	12	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18028387/outs
SRR18028388	12	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18028388/outs
SRR18028389	12	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18028389/outs
SRR18028390	12	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18028390/outs
SRR18028391	12	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18028391/outs
SRR18028392	12	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18028392/outs
SRR18028393	12	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18028393/outs
SRR18028394	12	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18028394/outs
SRR18028395	12	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18028395/outs
SRR18028396	12	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18028396/outs
SRR18028397	12	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18028397/outs
SRR18029350	17	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18029350/outs
SRR18029351	17	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18029351/outs
SRR18029352	17	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18029352/outs
SRR18029353	17	""	/lustre/scratch125/humgen/teams/hgi/ip13/1k1k/cellranger611_count_GRCh38-2020-A/SRR18029353/outs
