experiment_id	customer_measured_volume	live_cell_count	viability	Concentration	RECIEVED	FAMILY	instrument	State	Sex
SRR18028378__682_683	3000.0	926000 cells/ml	90.5%	1 DF	2022-08-09 09:11:44		NovaSeq_NV8_A00510	24h	M
SRR18028378__683_684	3000.0	726000 cells/ml	96.5%	1 DF	2022-08-09 09:11:44		NovaSeq_NV8_A00510	24h	M
SRR18028378__684_685	3000.0	2330000 cells/ml	98.3%	1 DF	2022-08-09 09:11:44		NovaSeq_NV8_A00510	24h	F
SRR18028378__685_686	3000.0	1070000 cells/ml	98.6%	1 DF	2022-08-09 09:11:44		NovaSeq_NV8_A00510	24h	M
SRR18028378__686_687	3000.0	1850000 cells/ml	98.4%	1 DF	2022-08-09 08:57:11		NovaSeq_NV8_A00510	24h	F
SRR18028378__687_688	3000.0	926000 cells/ml	90.5%	1 DF	2022-08-09 09:11:44		NovaSeq_NV8_A00510	24h	M
SRR18028378__688_689	3000.0	726000 cells/ml	96.5%	1 DF	2022-08-09 09:11:44		NovaSeq_NV8_A00510	24h	M
SRR18028378__689_690	3000.0	2330000 cells/ml	98.3%	1 DF	2022-08-09 09:11:44		NovaSeq_NV8_A00510	24h	F
SRR18028378__690_691	3000.0	1070000 cells/ml	98.6%	1 DF	2022-08-09 09:11:44		NovaSeq_NV8_A00510	24h	M
SRR18028378__691_692	3000.0	1850000 cells/ml	98.4%	1 DF	2022-08-09 08:57:11		NovaSeq_NV8_A00510	24h	F
SRR18028378__692_693	3000.0	1070000 cells/ml	98.6%	1 DF	2022-08-09 09:11:44		NovaSeq_NV8_A00510	24h	M
SRR18028378__693_694	3000.0	1850000 cells/ml	98.4%	1 DF	2022-08-09 08:57:11		NovaSeq_NV8_A00510	24h	F
